rcsb_id,lig_3letter,lig_name,smiles
1A28,STR,PROGESTERONE,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
1A6V,NPC,4-HYDROXY-3-NITROPHENYLACETYL-EPSILON-AMINOCAPROIC ACID ANION,c1cc(c(cc1CC(=O)NCCCCCC(=O)[O-])[N+](=O)[O-])O
1A6W,NIP,4-HYDROXY-5-IODO-3-NITROPHENYLACETYL-EPSILON-AMINOCAPROIC ACID ANION,c1c(cc(c(c1[N+](=O)[O-])O)I)CC(=O)NCCCCCC(=O)[O-]
1A9U,SB2,4-[5-(4-FLUORO-PHENYL)-2-(4-METHANESULFINYL-PHENYL)-3H-IMIDAZOL-4-YL]-PYRIDINE,CS(=O)c1ccc(cc1)c2[nH]c(c(n2)c3ccc(cc3)F)c4ccncc4
1AFE,ALZ,2-[N'-(4-AMINO-BUTYL)-HYDRAZINOCARBONYL]-PYRROLIDINE-1-CARBOXYLIC ACID BENZYL ESTER,c1ccc(cc1)COC(=O)N2CCCC2C(=O)NNCCCCN
1AIM,ZYA,BENZOYL-TYROSINE-ALANINE-FLUORO-METHYL KETONE,CC(C(=O)CF)NC(=O)C(Cc1ccc(cc1)O)NC(=O)OCc2ccccc2
1AJ7,NPE,5-(PARA-NITROPHENYL PHOSPHONATE)-PENTANOIC ACID,c1cc(ccc1[N+](=O)[O-])OP(=O)(CCCCC(=O)O)[O-]
1AZ8,IN4,+/-METHYL 4-(AMINOIMINOMETHYL)-BETA-[3- INH (AMINOIMINO)PHENYL]BENZENE PENTANOATE,[H]N=C(c1cccc(c1)C(CCc2ccc(cc2)C(=N)N)CC(=O)OC)N
1BGQ,RDC,RADICICOL,CC1CC2C(O2)C=CC=CC(=O)Cc3c(c(cc(c3Cl)O)O)C(=O)O1
1BL7,SB4,4-(4-FLUOROPHENYL)-1-(4-PIPERIDINYL)-5-(2-AMINO-4-PYRIMIDINYL)-IMIDAZOLE,c1cc(ccc1c2c(n(cn2)C3CCNCC3)c4ccnc(n4)N)F
1BMK,SB5,4-(FLUOROPHENYL)-1-CYCLOPROPYLMETHYL-5-(2-AMINO-4-PYRIMIDINYL)IMIDAZOLE,c1cc(ccc1c2c(n(cn2)CC3CC3)c4ccnc(n4)N)F
1C1E,ENH,"1,7,8,9,10,10-HEXACHLORO-4-METHYL-4-AZA-TRICYCLO[5.2.1.0(2,6)]DEC-8-ENE-3,5-DIONE",CN1C(=O)C2C(C1=O)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
